morador_id,morador_nome,condominio_id,data_registro
88469b234ead484ba6219035f1695830,Guilherme Moreira,55741f1ea669417e95ad6081f4235a95,2008-01-01 13:30:00
9ec1ed7955dc4b8d9ed3e1efb374324d,Tiago Vieira,281df7ed249d42aca30eea847c0c0b6b,2008-01-01 13:30:00
1acb4839148a409f9f1a14e998cb8927,Filipe Cunha,dcff950af89a4879bed10d037060d016,2008-01-01 13:30:00
d1399b843ca8496c90a0b5778be8c15e,Rodolfo Moreira,ac36ffb729984560afda6d73e5ba25a4,2008-01-01 13:30:00
e8a4d213586d4c21ba54256c7117654f,Vítor Marques,747fe70926124a818b517ffe106d7771,2008-01-01 13:30:00
89e17bdba5904ef7aef1cc2bf6c489f5,Daniel Fernandes,d10e85065fa14155bb5daa328371168f,2008-01-01 13:30:00
35e6e8e298b2484b8fd20dc70ece4057,Alfredo Nunes,dba3d7aced334417b9918e09ca6b5e9d,2008-01-01 13:30:00
a4ff6660616449fdaaab764436a439a7,João Tavares,74e7ba3bc60e42f395762fbc78229c41,2008-01-01 13:30:00
56b613611f8c477ca3c0622c16344886,Horácio Ferreira,5f7ef53658ea4380af8e31bb2a5a0b0e,2008-01-01 13:30:00
639f7722b2364714a91ad0e3b7a64228,Bárbara Figueiredo,7cb2848532354a15947de0afa2680488,2008-01-01 13:30:00
905c338dea84464eb883ad0d63e5567e,Jaime Tavares,1f06b17aa8da4fbf8e6fb11e897cbfce,2008-01-01 13:30:00
4d1dbdba8c2c4079acc57046163e59b7,Henrique Teixeira,a24dc900b959449d96a95dc6ecbda098,2008-01-01 13:30:00
4fbd906c564f4ca89603c21bf5eb171b,Frederico Antunes,4123f02bf5f943a9b637952c646c2aac,2008-01-01 13:30:00
84ee8c9c9f9f46ddaf8b7de23631776c,Fernando Rocha,ccca66bf49874414b954510638361181,2008-01-01 13:30:00
5d06e17a69944565afe3433ec0529be2,Alexandre Fernandes,93a7505b04224afc9b2a708155df3186,2008-01-01 13:30:00
dcddb77bc1d74589977a7addf2ad0248,Lúcia Santos,e2c7a4b43b404359bc8c5cde98c3968d,2008-01-01 13:30:00
12986c046c3c46eb9275416745bf3cb0,Manuel Soares,563956464a4a40b8b0165971cdc763c4,2008-01-01 13:30:00
f09084ec018b4aaab2f71465801f5271,Carlos Vieira,59769483fbb44ccb8499ec03be0f05fb,2008-01-01 13:30:00
b4e7c48665884c18ad364769fd4f4971,Jaime Simões,a14e7620dd2141db89e8db7229a252a1,2008-01-01 13:30:00
54c1bdc9d9ea45c496f23195a7219d21,Leonardo Azevedo,9afbd9682b574029b89503fc7b94dbcb,2008-01-01 13:30:00
b516f7b1bcd145cf97813b6d3f16333b,Filipe Lourenço,82b463befc9345f89f5b8edf18219668,2008-01-01 13:30:00
f5c65c8d25924f248e0a4e2d76671abd,Osvaldo Nunes,52d9bd7b2b4643bc805ae6327cf20e64,2008-01-01 13:30:00
67cc0f29637843dcaeb1b43d2e54b730,Filipe Fernandes,c76367f5ff5e448aa13d11e8b2cfe133,2008-01-01 13:30:00
0af19145c31f4c25a0b746a6388b0b1a,Júlia Raposo,2ce0a6a82f3b4dcf8c41fa77c6d8acff,2008-01-01 13:30:00
c2e67b6b1185487f91530615edc4a72b,José Alves,fd9cb31715de4fbd818b030ff57f6dfd,2008-01-01 13:30:00
3860d7f403414df68cb3cd05941d7849,José Fernandes,c66f1f3d3b3d45138142c8f785cfa585,2008-01-01 13:30:00
050916ffb8f146ddab97af790610a6ad,Vítor Sousa,46cc84ac3434407fa64a1ef4bf26fdf4,2008-01-01 13:30:00
dd4b76ddbf1d443cb2e648038568abbb,Manuel Nunes,a51dcd0054cf49f3bf6a99a094e8375a,2008-01-01 13:30:00
